Incident ID,Created Date,Resolved Date,Priority,Status,Category,Subcategory,Assignee,Assignment Group,Source,Affected System,Description,Resolution Notes
INC000001,2024-10-24 02:49:54.772006,2024-10-25 06:09:59.994808,P4,Closed,User Access,Permission,Robert Johnson,Help Desk,Monitoring System,VPN Service,Permission failure in User Access system,Known issue with workaround applied
INC000002,2024-10-24 16:27:54.772006,2024-10-26 00:47:11.620904,P3,Closed,Server,Linux,Jane Doe,Server Team,Email,File Server,User experiencing Linux issues with Server,Restarted Server service to resolve Linux issue
INC000003,2024-10-25 06:21:54.772006,2024-10-25 12:53:45.826184,P3,Resolved,Hardware,Desktop,John Smith,Help Desk,Chat,Database Server,Hardware Desktop not functioning as expected,User error resolved with additional training
INC000004,2024-10-25 13:10:54.772006,2024-10-26 00:34:01.152762,P2,Closed,Database,Performance,David Miller,Database Team,Phone,Database Server,Database Performance not functioning as expected,Fixed Performance configuration in Database
INC000005,2024-10-26 16:25:54.772006,2024-10-27 10:46:27.926788,P3,Resolved,Hardware,Peripheral,Robert Johnson,Help Desk,Email,Email Server,User experiencing Peripheral issues with Hardware,Known issue with workaround applied
INC000006,2024-10-26 20:00:54.772006,2024-10-27 12:29:10.496266,P3,Resolved,User Access,Permission,Lisa Wong,Help Desk,Email,Active Directory,User Access Permission not functioning as expected,Applied patch to fix Permission vulnerability
INC000007,2024-10-27 13:21:54.772006,,P3,Pending,Application,Integration,Jane Doe,Application Support,Phone,CRM System,Integration failure in Application system,
INC000008,2024-10-27 22:53:54.772006,2024-10-28 10:44:47.897120,P3,Closed,Application,Configuration,Unassigned,Application Support,Chat,ERP System,Application issue: Configuration problem reported by user,Known issue with workaround applied
INC000009,2024-10-31 06:23:54.772006,2024-10-31 14:52:40.092067,P4,Closed,Hardware,Desktop,John Smith,Help Desk,Phone,File Server,Hardware issue: Desktop problem reported by user,Fixed Desktop configuration in Hardware
INC000010,2024-11-01 07:26:54.772006,2024-11-01 09:58:36.469739,P1,Closed,Network,Connectivity,Jane Doe,Network Team,Email,VPN Service,User experiencing Connectivity issues with Network,Applied patch to fix Connectivity vulnerability
INC000011,2024-11-02 12:22:54.772006,2024-11-02 13:42:04.074089,P3,Resolved,Network,VPN,Maria Garcia,Network Team,Phone,VPN Service,Network issue: VPN problem reported by user,User error resolved with additional training
INC000012,2024-11-05 01:36:54.772006,2024-11-08 06:00:31.352730,P1,Closed,Database,Backup,Robert Johnson,Database Team,Web Portal,Database Server,User experiencing Backup issues with Database,Restarted Database service to resolve Backup issue
INC000013,2024-11-05 20:29:54.772006,2024-11-07 17:34:35.863852,P2,Closed,User Access,Permission,Jane Doe,Help Desk,Web Portal,Network Infrastructure,User experiencing Permission issues with User Access,Applied patch to fix Permission vulnerability
INC000014,2024-11-06 01:12:54.772006,2024-11-06 11:44:08.901604,P2,Closed,Application,Configuration,John Smith,Application Support,Phone,CRM System,Application Configuration not functioning as expected,Fixed Configuration configuration in Application
INC000015,2024-11-06 08:04:54.772006,2024-11-09 11:29:17.979591,P3,Closed,Hardware,Mobile,Jane Doe,Help Desk,Email,Email Server,Hardware issue: Mobile problem reported by user,Fixed Mobile configuration in Hardware
INC000016,2024-11-07 09:37:54.772006,2024-11-08 12:44:14.140510,P2,Closed,Security,Malware,John Smith,Security Team,Web Portal,Active Directory,Malware failure in Security system,User error resolved with additional training
INC000017,2024-11-07 21:49:54.772006,2024-11-08 13:38:33.902888,P3,Closed,Server,Windows,Robert Johnson,Server Team,Chat,Email Server,Server issue: Windows problem reported by user,User error resolved with additional training
INC000018,2024-11-10 10:29:54.772006,2024-11-11 02:48:05.849959,P2,Resolved,Network,Connectivity,Lisa Wong,Network Team,Web Portal,VPN Service,Network issue: Connectivity problem reported by user,Known issue with workaround applied
INC000019,2024-11-11 10:33:54.772006,,P3,Pending,Hardware,Desktop,David Miller,Help Desk,Phone,Web Application,Desktop failure in Hardware system,
INC000020,2024-11-11 13:31:54.772006,2024-11-11 15:37:07.943967,P4,Resolved,Database,Corruption,Maria Garcia,Database Team,Web Portal,Database Server,Corruption failure in Database system,User error resolved with additional training
INC000021,2024-11-11 17:19:54.772006,,P3,Pending,Hardware,Desktop,Jane Doe,Help Desk,Chat,Email Server,User experiencing Desktop issues with Hardware,
INC000022,2024-11-12 23:51:54.772006,2024-11-13 02:10:25.166758,P3,Closed,Database,Query,John Smith,Database Team,Monitoring System,Database Server,User experiencing Query issues with Database,Restarted Database service to resolve Query issue
INC000023,2024-11-14 15:13:54.772006,2024-11-15 13:22:11.146501,P2,Closed,Network,Router,David Miller,Network Team,Web Portal,VPN Service,Router failure in Network system,Fixed Router configuration in Network
INC000024,2024-11-14 23:02:54.772006,2024-11-15 18:24:39.764512,P3,Closed,User Access,Termination,Jane Doe,Help Desk,Phone,Database Server,User Access issue: Termination problem reported by user,Applied patch to fix Termination vulnerability
INC000025,2024-11-17 11:42:54.772006,,P1,In Progress,Database,Performance,Unassigned,Database Team,Chat,Database Server,Database issue: Performance problem reported by user,
INC000026,2024-11-18 12:03:54.772006,2024-11-18 17:48:20.039840,P3,Closed,Network,Connectivity,Robert Johnson,Network Team,Email,VPN Service,Network issue: Connectivity problem reported by user,Applied patch to fix Connectivity vulnerability
INC000027,2024-11-18 22:05:54.772006,2024-11-21 20:14:08.437143,P4,Closed,Security,Malware,Robert Johnson,Security Team,Phone,VPN Service,Security Malware not functioning as expected,User error resolved with additional training
INC000028,2024-11-20 10:49:54.772006,2024-11-21 23:18:45.907665,P3,Closed,Database,Backup,David Miller,Database Team,Web Portal,Database Server,Backup failure in Database system,Fixed Backup configuration in Database
INC000029,2024-11-23 00:43:54.772006,,P4,In Progress,Network,Switch,David Miller,Network Team,Web Portal,Network Infrastructure,User experiencing Switch issues with Network,
INC000030,2024-11-23 08:43:54.772006,2024-11-23 11:37:20.288979,P3,Closed,Application,Performance,Jane Doe,Application Support,Web Portal,Web Application,User experiencing Performance issues with Application,User error resolved with additional training
INC000031,2024-11-24 02:16:54.772006,,P2,Pending,Security,Malware,Unassigned,Security Team,Email,VPN Service,Security issue: Malware problem reported by user,
INC000032,2024-11-25 08:09:54.772006,2024-11-28 00:18:29.299677,P4,Closed,Network,Connectivity,Robert Johnson,Network Team,Web Portal,Network Infrastructure,Connectivity failure in Network system,Restarted Network service to resolve Connectivity issue
INC000033,2024-11-25 10:56:54.772006,2024-11-29 02:46:14.065561,P2,Closed,Hardware,Printer,David Miller,Help Desk,Monitoring System,CRM System,Printer failure in Hardware system,Applied patch to fix Printer vulnerability
INC000034,2024-11-25 23:38:54.772006,,P2,Open,Hardware,Printer,John Smith,Help Desk,Web Portal,Database Server,Hardware Printer not functioning as expected,
INC000035,2024-11-26 08:38:54.772006,2024-12-01 20:45:16.443423,P4,Closed,User Access,New Account,Robert Johnson,Help Desk,Chat,CRM System,User experiencing New Account issues with User Access,User error resolved with additional training
INC000036,2024-11-26 22:53:54.772006,2024-11-27 00:16:42.135537,P3,Resolved,User Access,Permission,David Miller,Help Desk,Chat,Active Directory,User Access Permission not functioning as expected,Known issue with workaround applied
INC000037,2024-11-27 04:10:54.772006,,P3,Open,Security,Policy,Robert Johnson,Security Team,Monitoring System,VPN Service,Security Policy not functioning as expected,
INC000038,2024-11-27 22:10:54.772006,2024-11-29 06:14:22.401534,P2,Closed,Database,Performance,Jane Doe,Database Team,Phone,Database Server,Performance failure in Database system,Applied patch to fix Performance vulnerability
INC000039,2024-11-28 08:30:54.772006,,P3,In Progress,Hardware,Printer,Maria Garcia,Help Desk,Email,ERP System,Hardware Printer not functioning as expected,
INC000040,2024-11-28 09:50:54.772006,2024-11-29 04:47:45.202043,P4,Resolved,Network,Router,David Miller,Network Team,Chat,VPN Service,Router failure in Network system,User error resolved with additional training
INC000041,2024-11-28 16:06:54.772006,2024-11-29 21:28:54.027294,P1,Closed,User Access,Password Reset,Robert Johnson,Help Desk,Email,Active Directory,User Access issue: Password Reset problem reported by user,User error resolved with additional training
INC000042,2024-11-29 13:54:54.772006,2024-12-03 01:01:03.673156,P4,Resolved,Hardware,Printer,Maria Garcia,Help Desk,Email,Web Application,Printer failure in Hardware system,Fixed Printer configuration in Hardware
INC000043,2024-12-01 06:37:54.772006,2024-12-02 10:35:17.663593,P4,Closed,Network,VPN,Jane Doe,Network Team,Email,VPN Service,Network VPN not functioning as expected,Known issue with workaround applied
INC000044,2024-12-01 16:30:54.772006,2024-12-03 12:02:45.664012,P2,Closed,Security,Malware,Robert Johnson,Security Team,Phone,Active Directory,Security issue: Malware problem reported by user,Applied patch to fix Malware vulnerability
INC000045,2024-12-02 12:28:54.772006,2024-12-04 12:52:33.413314,P3,Closed,User Access,Password Reset,Robert Johnson,Help Desk,Email,Email Server,Password Reset failure in User Access system,Restarted User Access service to resolve Password Reset issue
INC000046,2024-12-03 21:50:54.772006,2024-12-05 17:36:13.293308,P3,Closed,User Access,Termination,Robert Johnson,Help Desk,Phone,Network Infrastructure,User experiencing Termination issues with User Access,Known issue with workaround applied
INC000047,2024-12-04 11:31:54.772006,2024-12-05 00:51:31.418432,P4,Resolved,Database,Performance,John Smith,Database Team,Monitoring System,Database Server,Database issue: Performance problem reported by user,Fixed Performance configuration in Database
INC000048,2024-12-06 06:27:54.772006,2024-12-06 12:30:27.693614,P2,Resolved,Hardware,Mobile,David Miller,Help Desk,Web Portal,VPN Service,Mobile failure in Hardware system,Known issue with workaround applied
INC000049,2024-12-06 12:12:54.772006,2024-12-07 00:20:29.277008,P3,Closed,Application,Integration,Robert Johnson,Application Support,Email,ERP System,Integration failure in Application system,Known issue with workaround applied
INC000050,2024-12-07 06:52:54.772006,2024-12-09 12:16:26.256445,P3,Closed,Hardware,Printer,Jane Doe,Help Desk,Web Portal,Network Infrastructure,Printer failure in Hardware system,Restarted Hardware service to resolve Printer issue
INC000051,2024-12-11 16:42:54.772006,2024-12-11 20:31:11.985036,P4,Resolved,User Access,Termination,Jane Doe,Help Desk,Phone,Email Server,User Access issue: Termination problem reported by user,Known issue with workaround applied
INC000052,2024-12-11 20:05:54.772006,2024-12-12 13:22:56.693741,P4,Closed,Database,Query,John Smith,Database Team,Email,Database Server,Query failure in Database system,User error resolved with additional training
INC000053,2024-12-12 07:29:54.772006,2024-12-12 13:52:19.663893,P3,Closed,User Access,Permission,Unassigned,Help Desk,Chat,File Server,User Access Permission not functioning as expected,Applied patch to fix Permission vulnerability
INC000054,2024-12-12 08:19:54.772006,,P4,Pending,Application,Configuration,Robert Johnson,Application Support,Web Portal,ERP System,Application issue: Configuration problem reported by user,
INC000055,2024-12-12 13:51:54.772006,2024-12-13 10:45:35.782229,P3,Closed,Database,Corruption,Jane Doe,Database Team,Phone,Database Server,Database issue: Corruption problem reported by user,Known issue with workaround applied
INC000056,2024-12-12 18:54:54.772006,2024-12-14 18:38:45.880166,P2,Resolved,User Access,New Account,Lisa Wong,Help Desk,Phone,ERP System,New Account failure in User Access system,Known issue with workaround applied
INC000057,2024-12-12 22:00:54.772006,2024-12-15 00:58:25.108465,P3,Resolved,Network,Switch,Unassigned,Network Team,Monitoring System,Network Infrastructure,Network Switch not functioning as expected,Applied patch to fix Switch vulnerability
INC000058,2024-12-13 11:45:54.772006,2024-12-13 18:14:50.093766,P2,Closed,Database,Query,Lisa Wong,Database Team,Phone,Database Server,Database issue: Query problem reported by user,Fixed Query configuration in Database
INC000059,2024-12-13 21:47:54.772006,2024-12-16 06:58:55.123136,P3,Closed,Hardware,Mobile,Maria Garcia,Help Desk,Email,VPN Service,Hardware Mobile not functioning as expected,Fixed Mobile configuration in Hardware
INC000060,2024-12-13 22:05:54.772006,2024-12-14 19:36:27.786263,P3,Closed,Server,VMware,John Smith,Server Team,Web Portal,File Server,Server issue: VMware problem reported by user,Fixed VMware configuration in Server
INC000061,2024-12-14 13:01:54.772006,,P4,In Progress,Hardware,Mobile,Jane Doe,Help Desk,Chat,VPN Service,User experiencing Mobile issues with Hardware,
INC000062,2024-12-14 19:25:54.772006,2024-12-15 05:46:43.430851,P3,Closed,Application,Performance,Jane Doe,Application Support,Chat,CRM System,User experiencing Performance issues with Application,Known issue with workaround applied
INC000063,2024-12-15 03:47:54.772006,2024-12-16 09:21:26.930271,P2,Resolved,Network,Firewall,John Smith,Network Team,Web Portal,Network Infrastructure,Network Firewall not functioning as expected,Known issue with workaround applied
INC000064,2024-12-15 09:54:54.772006,2024-12-16 01:41:11.440161,P3,Closed,Server,Hardware,John Smith,Server Team,Chat,File Server,Server issue: Hardware problem reported by user,Fixed Hardware configuration in Server
INC000065,2024-12-15 18:13:54.772006,,P1,In Progress,Database,Performance,Lisa Wong,Database Team,Web Portal,Database Server,User experiencing Performance issues with Database,
INC000066,2024-12-18 11:08:54.772006,2024-12-18 22:32:37.080299,P1,Closed,Network,VPN,Robert Johnson,Network Team,Web Portal,VPN Service,Network issue: VPN problem reported by user,User error resolved with additional training
INC000067,2024-12-19 08:05:54.772006,2024-12-20 13:24:14.869586,P3,Closed,Database,Query,Maria Garcia,Database Team,Chat,Database Server,Query failure in Database system,Applied patch to fix Query vulnerability
INC000068,2024-12-19 08:10:54.772006,2024-12-19 15:02:43.650528,P4,Resolved,Network,Firewall,John Smith,Network Team,Web Portal,VPN Service,Network Firewall not functioning as expected,User error resolved with additional training
INC000069,2024-12-19 08:47:54.772006,2024-12-19 18:25:08.604835,P1,Closed,Security,Policy,John Smith,Security Team,Email,Active Directory,User experiencing Policy issues with Security,Fixed Policy configuration in Security
INC000070,2024-12-19 19:49:54.772006,2024-12-20 09:30:39.301440,P3,Closed,Network,Connectivity,Unassigned,Network Team,Web Portal,Network Infrastructure,Network issue: Connectivity problem reported by user,Applied patch to fix Connectivity vulnerability
INC000071,2024-12-21 02:23:54.772006,2024-12-21 09:25:15.734202,P1,Closed,Server,Performance,Lisa Wong,Server Team,Chat,Email Server,Server Performance not functioning as expected,User error resolved with additional training
INC000072,2024-12-22 01:40:54.772006,,P2,Open,Database,Backup,Jane Doe,Database Team,Email,Database Server,Backup failure in Database system,
INC000073,2024-12-24 04:49:54.772006,,P4,In Progress,User Access,New Account,Robert Johnson,Help Desk,Chat,Active Directory,New Account failure in User Access system,
INC000074,2024-12-24 12:58:54.772006,2024-12-25 01:27:02.472694,P3,Closed,Network,Switch,Robert Johnson,Network Team,Email,VPN Service,User experiencing Switch issues with Network,Fixed Switch configuration in Network
INC000075,2024-12-25 16:30:54.772006,2024-12-26 12:51:10.269490,P4,Closed,Security,Malware,Jane Doe,Security Team,Phone,VPN Service,Malware failure in Security system,Restarted Security service to resolve Malware issue
INC000076,2024-12-28 03:46:54.772006,2024-12-29 12:12:06.164261,P2,Closed,User Access,Password Reset,Jane Doe,Help Desk,Chat,VPN Service,Password Reset failure in User Access system,Known issue with workaround applied
INC000077,2024-12-29 08:32:54.772006,,P3,Pending,Server,Hardware,Jane Doe,Server Team,Email,Email Server,Hardware failure in Server system,
INC000078,2024-12-29 22:25:54.772006,2024-12-31 09:24:47.390495,P4,Closed,Hardware,Printer,Robert Johnson,Help Desk,Phone,Active Directory,Hardware Printer not functioning as expected,User error resolved with additional training
INC000079,2024-12-30 01:10:54.772006,2024-12-31 18:42:43.215063,P3,Closed,User Access,Permission,David Miller,Help Desk,Email,ERP System,User Access Permission not functioning as expected,Fixed Permission configuration in User Access
INC000080,2024-12-30 07:50:54.772006,2024-12-31 16:34:12.960672,P3,Resolved,Security,Malware,Maria Garcia,Security Team,Chat,VPN Service,Security Malware not functioning as expected,Restarted Security service to resolve Malware issue
INC000081,2024-12-31 01:50:54.772006,2025-01-01 05:16:22.996176,P1,Resolved,Security,Malware,David Miller,Security Team,Email,Active Directory,Security Malware not functioning as expected,Applied patch to fix Malware vulnerability
INC000082,2025-01-01 04:43:54.772006,2025-01-01 11:14:23.104652,P3,Closed,Security,Malware,John Smith,Security Team,Email,Active Directory,Security issue: Malware problem reported by user,User error resolved with additional training
INC000083,2025-01-01 21:55:54.772006,2025-01-02 10:12:02.208436,P1,Closed,User Access,Permission,David Miller,Help Desk,Phone,Active Directory,User Access Permission not functioning as expected,Known issue with workaround applied
INC000084,2025-01-02 16:39:54.772006,,P1,Open,Database,Performance,John Smith,Database Team,Chat,Database Server,User experiencing Performance issues with Database,
INC000085,2025-01-04 20:45:54.772006,2025-01-05 12:21:15.170925,P2,Closed,Hardware,Desktop,Robert Johnson,Help Desk,Chat,Database Server,Desktop failure in Hardware system,Fixed Desktop configuration in Hardware
INC000086,2025-01-06 02:12:54.772006,2025-01-06 04:17:30.903413,P4,Closed,Security,Policy,Lisa Wong,Security Team,Web Portal,Active Directory,Security Policy not functioning as expected,Applied patch to fix Policy vulnerability
INC000087,2025-01-10 17:56:54.772006,,P3,In Progress,Database,Query,David Miller,Database Team,Phone,Database Server,Query failure in Database system,
INC000088,2025-01-11 02:23:54.772006,2025-01-11 20:26:09.621350,P4,Resolved,Application,Performance,Unassigned,Application Support,Chat,ERP System,Application issue: Performance problem reported by user,Restarted Application service to resolve Performance issue
INC000089,2025-01-11 12:15:54.772006,2025-01-12 02:01:27.602648,P2,Closed,Security,Malware,John Smith,Security Team,Web Portal,VPN Service,Malware failure in Security system,Fixed Malware configuration in Security
INC000090,2025-01-12 01:14:54.772006,2025-01-13 16:07:46.242117,P2,Closed,Server,VMware,Robert Johnson,Server Team,Chat,File Server,User experiencing VMware issues with Server,Restarted Server service to resolve VMware issue
INC000091,2025-01-13 21:19:54.772006,2025-01-17 16:49:29.537270,P3,Closed,Security,Policy,Unassigned,Security Team,Email,VPN Service,Security issue: Policy problem reported by user,Fixed Policy configuration in Security
INC000092,2025-01-14 01:21:54.772006,2025-01-14 20:51:06.566414,P4,Closed,Application,Configuration,Lisa Wong,Application Support,Email,ERP System,Application Configuration not functioning as expected,Known issue with workaround applied
INC000093,2025-01-15 23:49:54.772006,2025-01-16 09:10:58.015686,P2,Closed,User Access,Termination,Lisa Wong,Help Desk,Web Portal,Network Infrastructure,User Access issue: Termination problem reported by user,Known issue with workaround applied
INC000094,2025-01-17 11:05:54.772006,2025-01-17 12:09:48.406238,P1,Resolved,Security,Audit,David Miller,Security Team,Chat,Active Directory,User experiencing Audit issues with Security,Restarted Security service to resolve Audit issue
INC000095,2025-01-18 18:06:54.772006,2025-01-21 08:10:03.945430,P2,Closed,Security,Access,Jane Doe,Security Team,Phone,VPN Service,User experiencing Access issues with Security,Known issue with workaround applied
INC000096,2025-01-19 02:48:54.772006,2025-01-21 15:10:07.939026,P4,Closed,Application,Error,Lisa Wong,Application Support,Web Portal,CRM System,Application issue: Error problem reported by user,Fixed Error configuration in Application
INC000097,2025-01-19 17:50:54.772006,,P4,Open,Application,Integration,John Smith,Application Support,Phone,CRM System,Application issue: Integration problem reported by user,
INC000098,2025-01-19 20:21:54.772006,2025-01-20 03:21:55.658926,P4,Resolved,Database,Backup,Unassigned,Database Team,Phone,Database Server,Backup failure in Database system,User error resolved with additional training
INC000099,2025-01-21 11:23:54.772006,,P1,Pending,Network,VPN,Unassigned,Network Team,Web Portal,VPN Service,VPN failure in Network system,
